2018-09-24 13:09:06 Line Log cleared
2018-09-24 13:09:06 Starting IPTS-21153 on 2018-09-24
2018-09-24 19:06:41 Set Incident Energy to 20.0 meV
2018-09-25 01:29:03 Set Title: closed shutter, Ei=20 meV, run_in_series=211
2018-09-25 01:30:51 Set Title: closed shutter, Ei=20 meV, run_in_series=212
2018-09-25 01:32:39 Set Title: closed shutter, Ei=20 meV, run_in_series=213
2018-09-25 01:34:26 Set Title: closed shutter, Ei=20 meV, run_in_series=214
2018-09-25 01:36:14 Set Title: closed shutter, Ei=20 meV, run_in_series=215
2018-09-25 01:38:02 Set Title: closed shutter, Ei=20 meV, run_in_series=216
2018-09-25 01:39:49 Set Title: closed shutter, Ei=20 meV, run_in_series=217
2018-09-25 01:41:37 Set Title: closed shutter, Ei=20 meV, run_in_series=218
2018-09-25 01:43:25 Set Title: closed shutter, Ei=20 meV, run_in_series=219
2018-09-25 01:45:13 Set Title: closed shutter, Ei=20 meV, run_in_series=220
2018-09-25 01:47:00 Set Title: closed shutter, Ei=20 meV, run_in_series=221
2018-09-25 01:48:47 Set Title: closed shutter, Ei=20 meV, run_in_series=222
2018-09-25 01:50:36 Set Title: closed shutter, Ei=20 meV, run_in_series=223
2018-09-25 01:52:23 Set Title: closed shutter, Ei=20 meV, run_in_series=224
2018-09-25 01:54:11 Set Title: closed shutter, Ei=20 meV, run_in_series=225
2018-09-25 01:56:18 Set Title: closed shutter, Ei=20 meV, run_in_series=226
2018-09-25 01:58:06 Set Title: closed shutter, Ei=20 meV, run_in_series=227
2018-09-25 01:59:54 Set Title: closed shutter, Ei=20 meV, run_in_series=228
2018-09-25 02:01:42 Set Title: closed shutter, Ei=20 meV, run_in_series=229
2018-09-25 02:03:30 Set Title: closed shutter, Ei=20 meV, run_in_series=230
2018-09-25 02:05:18 Set Title: closed shutter, Ei=20 meV, run_in_series=231
2018-09-25 02:07:05 Set Title: closed shutter, Ei=20 meV, run_in_series=232
2018-09-25 02:08:53 Set Title: closed shutter, Ei=20 meV, run_in_series=233
2018-09-25 02:10:41 Set Title: closed shutter, Ei=20 meV, run_in_series=234
2018-09-25 02:12:29 Set Title: closed shutter, Ei=20 meV, run_in_series=235
2018-09-25 02:14:17 Set Title: closed shutter, Ei=20 meV, run_in_series=236
2018-09-25 02:16:04 Set Title: closed shutter, Ei=20 meV, run_in_series=237
2018-09-25 02:17:52 Set Title: closed shutter, Ei=20 meV, run_in_series=238
2018-09-25 02:19:40 Set Title: closed shutter, Ei=20 meV, run_in_series=239
2018-09-25 02:21:27 Set Title: closed shutter, Ei=20 meV, run_in_series=240
2018-09-25 02:23:15 Set Title: closed shutter, Ei=20 meV, run_in_series=241
2018-09-25 02:25:02 Set Title: closed shutter, Ei=20 meV, run_in_series=242
2018-09-25 02:26:50 Set Title: closed shutter, Ei=20 meV, run_in_series=243
2018-09-25 02:28:38 Set Title: closed shutter, Ei=20 meV, run_in_series=244
2018-09-25 02:30:49 Set Title: closed shutter, Ei=20 meV, run_in_series=245
2018-09-25 02:32:36 Set Title: closed shutter, Ei=20 meV, run_in_series=246
2018-09-25 02:34:24 Set Title: closed shutter, Ei=20 meV, run_in_series=247
2018-09-25 02:36:39 Set Title: closed shutter, Ei=20 meV, run_in_series=248
2018-09-25 02:38:49 Set Title: closed shutter, Ei=20 meV, run_in_series=249
2018-09-25 02:40:36 Set Title: closed shutter, Ei=20 meV, run_in_series=250
2018-09-25 02:42:24 Set Title: closed shutter, Ei=20 meV, run_in_series=251
2018-09-25 02:44:12 Set Title: closed shutter, Ei=20 meV, run_in_series=252
2018-09-25 02:45:59 Set Title: closed shutter, Ei=20 meV, run_in_series=253
2018-09-25 02:47:47 Set Title: closed shutter, Ei=20 meV, run_in_series=254
2018-09-25 02:49:35 Set Title: closed shutter, Ei=20 meV, run_in_series=255
2018-09-25 02:51:22 Set Title: closed shutter, Ei=20 meV, run_in_series=256
2018-09-25 02:53:10 Set Title: closed shutter, Ei=20 meV, run_in_series=257
2018-09-25 02:54:58 Set Title: closed shutter, Ei=20 meV, run_in_series=258
2018-09-25 02:56:46 Set Title: closed shutter, Ei=20 meV, run_in_series=259
2018-09-25 02:58:34 Set Title: closed shutter, Ei=20 meV, run_in_series=260
2018-09-25 03:00:22 Set Title: closed shutter, Ei=20 meV, run_in_series=261
2018-09-25 03:02:10 Set Title: closed shutter, Ei=20 meV, run_in_series=262
2018-09-25 03:03:58 Set Title: closed shutter, Ei=20 meV, run_in_series=263
2018-09-25 03:05:46 Set Title: closed shutter, Ei=20 meV, run_in_series=264
2018-09-25 03:07:33 Set Title: closed shutter, Ei=20 meV, run_in_series=265
2018-09-25 03:09:21 Set Title: closed shutter, Ei=20 meV, run_in_series=266
2018-09-25 03:11:09 Set Title: closed shutter, Ei=20 meV, run_in_series=267
2018-09-25 03:12:57 Set Title: closed shutter, Ei=20 meV, run_in_series=268
2018-09-25 03:14:45 Set Title: closed shutter, Ei=20 meV, run_in_series=269
2018-09-25 03:16:32 Set Title: closed shutter, Ei=20 meV, run_in_series=270
2018-09-25 03:18:20 Set Title: closed shutter, Ei=20 meV, run_in_series=271
2018-09-25 03:20:08 Set Title: closed shutter, Ei=20 meV, run_in_series=272
2018-09-25 03:21:56 Set Title: closed shutter, Ei=20 meV, run_in_series=273
2018-09-25 03:23:44 Set Title: closed shutter, Ei=20 meV, run_in_series=274
2018-09-25 03:25:32 Set Title: closed shutter, Ei=20 meV, run_in_series=275
2018-09-25 03:27:20 Set Title: closed shutter, Ei=20 meV, run_in_series=276
2018-09-25 03:29:07 Set Title: closed shutter, Ei=20 meV, run_in_series=277
2018-09-25 03:30:55 Set Title: closed shutter, Ei=20 meV, run_in_series=278
2018-09-25 03:32:43 Set Title: closed shutter, Ei=20 meV, run_in_series=279
2018-09-25 03:34:31 Set Title: closed shutter, Ei=20 meV, run_in_series=280
2018-09-25 03:36:19 Set Title: closed shutter, Ei=20 meV, run_in_series=281
2018-09-25 03:38:06 Set Title: closed shutter, Ei=20 meV, run_in_series=282
2018-09-25 03:39:54 Set Title: closed shutter, Ei=20 meV, run_in_series=283
2018-09-25 03:41:41 Set Title: closed shutter, Ei=20 meV, run_in_series=284
2018-09-25 03:43:29 Set Title: closed shutter, Ei=20 meV, run_in_series=285
2018-09-25 03:45:17 Set Title: closed shutter, Ei=20 meV, run_in_series=286
2018-09-25 03:47:05 Set Title: closed shutter, Ei=20 meV, run_in_series=287
2018-09-25 03:48:52 Set Title: closed shutter, Ei=20 meV, run_in_series=288
2018-09-25 03:50:40 Set Title: closed shutter, Ei=20 meV, run_in_series=289
2018-09-25 03:52:28 Set Title: closed shutter, Ei=20 meV, run_in_series=290
2018-09-25 03:54:36 Set Title: closed shutter, Ei=20 meV, run_in_series=291
2018-09-25 03:56:23 Set Title: closed shutter, Ei=20 meV, run_in_series=292
2018-09-25 03:58:11 Set Title: closed shutter, Ei=20 meV, run_in_series=293
2018-09-25 03:59:59 Set Title: closed shutter, Ei=20 meV, run_in_series=294
2018-09-25 04:01:46 Set Title: closed shutter, Ei=20 meV, run_in_series=295
2018-09-25 04:03:34 Set Title: closed shutter, Ei=20 meV, run_in_series=296
2018-09-25 04:05:22 Set Title: closed shutter, Ei=20 meV, run_in_series=297
2018-09-25 04:07:10 Set Title: closed shutter, Ei=20 meV, run_in_series=298
2018-09-25 04:08:57 Set Title: closed shutter, Ei=20 meV, run_in_series=299
2018-09-25 04:10:45 Set Title: closed shutter, Ei=20 meV, run_in_series=300
2018-09-25 04:12:33 Set Title: closed shutter, Ei=20 meV, run_in_series=301
2018-09-25 04:14:21 Set Title: closed shutter, Ei=20 meV, run_in_series=302
2018-09-25 04:16:09 Set Title: closed shutter, Ei=20 meV, run_in_series=303
2018-09-25 04:17:57 Set Title: closed shutter, Ei=20 meV, run_in_series=304
2018-09-25 04:19:45 Set Title: closed shutter, Ei=20 meV, run_in_series=305
2018-09-25 04:21:33 Set Title: closed shutter, Ei=20 meV, run_in_series=306
2018-09-25 04:23:21 Set Title: closed shutter, Ei=20 meV, run_in_series=307
2018-09-25 04:25:10 Set Title: closed shutter, Ei=20 meV, run_in_series=308
2018-09-25 04:26:58 Set Title: closed shutter, Ei=20 meV, run_in_series=309
2018-09-25 04:28:46 Set Title: closed shutter, Ei=20 meV, run_in_series=310
2018-09-25 04:30:34 Set Title: closed shutter, Ei=20 meV, run_in_series=311
2018-09-25 04:32:49 Set Title: closed shutter, Ei=20 meV, run_in_series=312
2018-09-25 04:34:37 Set Title: closed shutter, Ei=20 meV, run_in_series=313
2018-09-25 04:36:25 Set Title: closed shutter, Ei=20 meV, run_in_series=314
2018-09-25 04:38:13 Set Title: closed shutter, Ei=20 meV, run_in_series=315
2018-09-25 04:40:01 Set Title: closed shutter, Ei=20 meV, run_in_series=316
2018-09-25 04:41:49 Set Title: closed shutter, Ei=20 meV, run_in_series=317
2018-09-25 04:43:37 Set Title: closed shutter, Ei=20 meV, run_in_series=318
2018-09-25 04:45:25 Set Title: closed shutter, Ei=20 meV, run_in_series=319
2018-09-25 04:47:13 Set Title: closed shutter, Ei=20 meV, run_in_series=320
2018-09-25 04:49:01 Set Title: closed shutter, Ei=20 meV, run_in_series=321
2018-09-25 04:50:49 Set Title: closed shutter, Ei=20 meV, run_in_series=322
2018-09-25 04:52:38 Set Title: closed shutter, Ei=20 meV, run_in_series=323
2018-09-25 04:54:26 Set Title: closed shutter, Ei=20 meV, run_in_series=324
2018-09-25 04:56:14 Set Title: closed shutter, Ei=20 meV, run_in_series=325
2018-09-25 04:58:02 Set Title: closed shutter, Ei=20 meV, run_in_series=326
2018-09-25 04:59:51 Set Title: closed shutter, Ei=20 meV, run_in_series=327
2018-09-25 05:01:39 Set Title: closed shutter, Ei=20 meV, run_in_series=328
2018-09-25 05:03:28 Set Title: closed shutter, Ei=20 meV, run_in_series=329
2018-09-25 05:05:16 Set Title: closed shutter, Ei=20 meV, run_in_series=330
2018-09-25 05:07:04 Set Title: closed shutter, Ei=20 meV, run_in_series=331
2018-09-25 05:08:52 Set Title: closed shutter, Ei=20 meV, run_in_series=332
